Part Number,Manufacturer,Description,External Id
ELM38-2,TBA,MODULE,19679
ELM380-1,None Specified,ELM380-1,19680
ELM382-1,TBA,MODULE,19681
ELM412-1,TBA,MODULE,19682
ELM417-2,None Specified,ELM417-2,19683
ELM451-1,TBA,COVER,19684
ELM479-1,TBA,WASHER,19685
ELM498-1,TBA,COVER,19686
ELM5-6,AIRBUS SAS,ELM5-6,19687
ELM578-1,TBA,PLATE,19688
ELM630-7,TBA,UNIT,19689
ELM631-5,TBA,UNIT,19690
ELM636-1,TBA,TRANSFMR,19691
ELM640-2,TBA,MODULE,19692
ELM709-1,TBA,WASHER,19693
ELM710-1,TBA,COLLAR,19694
ELM710-2,TBA,COLLAR,19695
ELM727-1,AIRBUS SAS,BOARD-SIGNAL CO,19696
ELM73-5,TBA,MODULE,19697
ELM749-1,TBA,BACKPLAN,19698
ELM750-1,TBA,BACKPLAN,19699
ELM772-1,TBA,BOARD,19700
ELM801-6-2,TBA,MODULE,19701
ELM801-8-2,TBA,MODULE,19702
ELM802-2-2,TBA,MODULE,19703
ELM802-2-3,TBA,MODULE,19704
ELM802-2-5,TBA,MODULE,19705
ELM803-2-1,TBA,MODULE,19706
ELM804-2-1,None Specified,ELM804-2-1,19707
ELM805-6-1,TBA,MODULE,19708
ELM1058-1,TBA,CONTACTR,19709
0FF1000A01G84,Jamco America,PAN ASSY,19710
0FF1000A03G71,Jamco America,PAN ASSY,19711
0FF1000A05G03,Jamco America,PAN ASSY,19712
0FF1000A05G57,Jamco America,PAN ASSY,19713
0FF1000A13G16,Jamco America,PAN ASSY,19714
0FF1000A13G89,Jamco America,PAN ASSY,19715
0FF1000A13G90,Jamco America,PAN ASSY,19716
0FF1000A14G06,Jamco America,PAN ASSY,19717
0FF1000A23G04,Jamco America,PAN ASSY,19718
0FF1000A23G53,Jamco America,PAN ASSY,19719
0FF1110A02M47,Jamco America,PAN,19720
0FF1310A01M21,Jamco America,MAT,19721
0FF1310A02M01AH,Jamco America,MAT,19722
0FF1310A02M23,Jamco America,MAT,19723
0FF2210A01M07,Jamco America,TRIM,19724
0FF2210A01M08,Jamco America,TRIM,19725
0FF2210A02M07,Jamco America,TRIM,19726
0FF2210A02M08,Jamco America,TRIM,19727
0FF2210A05M07,Jamco America,TRIM,19728
0FF2210A05M08,Jamco America,TRIM,19729
0FF2210A06M07,Jamco America,TRIM,19730
0FF2210A06M08,Jamco America,TRIM,19731
0FF2210A07M07,Jamco America,TRIM,19732
0FF2210A08M07,Jamco America,TRIM,19733
0FF2310A01M07,Jamco America,TRIM,19734
0FF2410A01M07,Jamco America,INSERT,19735
0FF2410A01M08,Jamco America,INSERT,19736
0FF2410A02M07,Jamco America,INSERT,19737
0FF2410A02M08,Jamco America,INSERT,19738
0FF2410A05M07,Jamco America,INSERT,19739
0FF2410A06M07,Jamco America,INSERT,19740
0FF2410A07M07,Jamco America,INSERT,19741
0FF2410A08M07,Jamco America,INSERT,19742
0FF2410A09M07,Jamco America,INSERT,19743
0FF4000A01G07,Jamco America,CAP ASSY,19744
0FF4000A03G07,Jamco America,CAP ASSY,19745
0FF4000A03G08,Jamco America,CAP ASSY,19746
0FF4100A01M27,Jamco America,CAP,19747
0FJ0702A01M13,Jamco America,HINGE PIN,19748
0FJ5310A01M01,Jamco America,NUT,19749
0FK3100A04M03,Jamco America,RACK,19750
0FL1150A03M01,Jamco America,LENS CATCH,19751
0FL1200A05G01,None Specified,LENS,19752
0FL1200A05G02,Jamco America,LENS ASSY,19753
0FL1200A05G03,None Specified,LENS,19754
0FL1200A05G04,Resource Data Pricing (Map to AVL),"LENS, LAVATORY",19755
0FL1200A06G01,Jamco America,LENS ASSY,19756
0FL1210A01M01,Jamco America,LENS,19757
0FL1210A01M02,Jamco America,LENS,19758
0FL1210A02M01,None Specified,LENS,19759
0FL1210A02M02,Jamco America,LENS,19760
0FL1210A03M01,Jamco America,LENS,19761
0FM2000A10G03,None Specified,MIRROR,19762
0FM2000A10G04,Jamco America,MIRROR ASSY,19763
0FM2000A30G01,Jamco America,MIRROR ASSY,19764
114W2701-1,SPIRIT AEROSYSTEMS,PAN SEAL -L,19765
114W2701-2,SPIRIT AEROSYSTEMS,PAN SEAL -R,19766
114W2710-1,Boeing,SEAL,19767
114W2710-3,SPIRIT,"SEAL-BULB,INBD",19768
114W2711-21,SPIRIT AEROSYSTEMS,SEAL ASSY,19769
114W2711-23,SPIRIT AEROSYSTEMS,SEAL ASSY,19770
114W2713-1,SPIRIT,SEAL-BLADE-END,19771
114W2713-2,SPIRIT,SEAL-BLADE-END,19772
114W2720-11,SPIRIT,"ASSY, SEAL-P",19773
114W2720-12,SPIRIT,"ASSY, SEAL-P",19774
114W2720-41,SPIRIT AEROSYSTEMS,"ASSEMBLY,SEAL-P",19775
114W2720-42,SPIRIT AEROSYSTEMS,"ASSEMBLY,SEAL-P",19776
114W2720-43,SPIRIT AEROSYSTEMS,"ASSEMBLY,SEAL-P",19777
114W2720-44,SPIRIT,"ASSEMBLY,SEAL-P",19778
114W2720-45,SPIRIT,"ASSEMBLY,SEAL-P",19779
114W2720-46,SPIRIT AEROSYSTEMS,"ASSEMBLY,SEAL-P",19780
114W2720-47,SPIRIT,"ASSEMBLY,SEAL-P",19781
114W2720-48,SPIRIT AEROSYSTEMS,"ASSEMBLY,SEAL-P",19782
114W2720-49,SPIRIT AEROSYSTEMS,"ASSEMBLY,SEAL-P",19783
114W2720-50,SPIRIT,"ASSEMBLY,SEAL-P",19784
114W2720-51,SPIRIT AEROSYSTEMS,"ASSEMBLY,SEAL-P",19785
114W2720-52,SPIRIT AEROSYSTEMS,"ASSEMBLY,SEAL-P",19786
114W4002-1,Boeing,BOLT,19787
114W4002-3,Boeing,BOLT,19788
114W4002-5,Boeing,BOLT,19789
114W4002-7,Boeing,BOLT,19790
114W4011-1,Boeing,LINK AY,19791
114W4014-3,Boeing,KIT,19792
114W4101-1,SPIRIT,BOLT- DEFL CONT,19793
114W4110-10,None Specified,SLAT AY,19794
114W4110-21,SPIRIT AEROSYSTEMS,SLAT ASSY- FINA,19795
114W4110-22,SPIRIT AEROSYSTEMS,SLAT ASSY- FINA,19796
114W4110-9,None Specified,SLAT AY,19797
114W4120-13,Boeing,SLAT AY,19798
114W4120-14,None Specified,SLAT AY,19799
114W4120-25,SPIRIT AEROSYSTEMS,SLAT ASSY-FINAL,19800
114W4120-26,SPIRIT AEROSYSTEMS,SLAT ASSY-FINAL,19801
114W4130-15,None Specified,SLAT AY,19802
114W4130-16,Boeing,SLAT AY,19803
114W4130-27,SPIRIT AEROSYSTEMS,SLAT ASSY-FINAL,19804
114W4130-28,SPIRIT AEROSYSTEMS,SLAT ASSY-FINAL,19805
114W4140-15,Boeing,SLAT AY,19806
114W4140-16,None Specified,SLAT AY,19807
114W4140-27,Boeing,SLAT AY,19808
114W4140-28,Boeing,SLAT AY,19809
114W4150-15,Boeing,SLAT AY,19810
114W4150-16,None Specified,SLAT AY,19811
114W4150-27,SPIRIT AEROSYSTEMS,SLAT ASSY- FINA,19812
114W4150-28,SPIRIT AEROSYSTEMS,SLAT ASSY- FINA,19813
114W4160-21,Boeing,SLAT AY,19814
114W4160-22,Boeing,SLAT AY,19815
114W4160-29,SPIRIT AEROSYSTEMS,SLAT ASSY - FIN,19816
114W4160-30,SPIRIT AEROSYSTEMS,SLAT ASSY - FIN,19817
114W4203-1,Boeing,SEAL,19818
114W4203-2,Boeing,SEAL,19819
148W5833-9,Boeing,SEAL,19820
1495,None Specified,LAMP,19821
1495X,Cessna Citation Airframe Components & Spare Parts,LAMP,19822
149W1180-1,Boeing,SEAL,19823
149W1180-2,Boeing,SEAL,19824
149W1180-5,Boeing,SEAL,19825
149W1243-1,Boeing,SEAL,19826
149W1243-2,Boeing,SEAL,19827
149W1243-3,Boeing,SEAL,19828
149W1243-4,Boeing,SEAL,19829
149W1243-5,Boeing,SEAL,19830
149W2105-1,Boeing,SEAL,19831
149W2105-10,Boeing,SEAL,19832
149W2105-11,Boeing,SEAL,19833
149W2105-12,Boeing,SEAL,19834
149W2105-13,Boeing,SEAL,19835
149W2105-2,Boeing,SEAL,19836
149W2105-3,Boeing,SEAL,19837
149W2105-4,Boeing,SEAL,19838
149W2105-5,Boeing,SEAL,19839
149W2105-6,Boeing,SEAL,19840
149W2105-7,Boeing,SEAL,19841
149W2105-8,Boeing,SEAL,19842
149W2105-9,Boeing,SEAL,19843
149W2177-1,Boeing,SEAL,19844
149W2177-2,Boeing,SEAL,19845
149W2234-2,Boeing,STOP,19846
149W2235-1,SPIRIT AEROSYSTEMS,HALF HINGE ASSY,19847
149W2235-2,Boeing,HINGE,19848
149W2333-10,Boeing,SEAL,19849
149W2333-11,Boeing,SEAL,19850
149W2333-12,Boeing,SEAL,19851
149W2333-13,Boeing,SEAL,19852
149W2333-14,Boeing,SEAL,19853
149W2333-15,Boeing,SEAL,19854
149W2333-3,Boeing,SEAL,19855
149W2333-8,Boeing,SEAL,19856
149W2333-9,Boeing,SEAL,19857
149W2401-7,Boeing,PLUG,19858
149W2401-8,Boeing,PLUG,19859
149W2426-1,Boeing,SEAL,19860
149W2426-2,Boeing,SEAL,19861
149W2426-3,Boeing,SEAL,19862
149W2426-4,Boeing,SEAL,19863
149W2426-5,Boeing,SEAL,19864
149W2426-6,Boeing,SEAL,19865
149W2426-8,Boeing,SEAL,19866
149W2429-3,Boeing,STOP,19867
149W2429-4,Boeing,STOP,19868
149W2429-5,None Specified,SPONGE,19869
149W2429-6,None Specified,SPONGE,19870
149W3217-1,Boeing,SEAL,19871
149W3217-10,Boeing,SEAL,19872
149W3217-11,None Specified,SEAL,19873
149W3217-12,None Specified,SEAL,19874
217T1435-3,Boeing,PLUG,19875
217T1436-2,Boeing,RETAINER,19876
217T2400-3,SPIRIT AEROSYSTEMS,SEAL,19877
217W1110-3,None Specified,ROD,19878
217W1110-5,None Specified,ROD,19879
217W1601-1,Boeing,GASKET,19880
217W1601-2,Boeing,GASKET,19881
217W1601-6,Boeing,GASKET,19882
217W1601-7,Boeing,GASKET,19883
218W1101-1,Boeing,DUCT AY,19884
218W1101-2,Boeing,DUCT AY,19885
218W1102-1,Boeing,DUCT AY,19886
218W2401-1,Boeing,GASKET,19887
218W3621-4A,Boeing,PORT,19888
21C1-6-7,Resource Data Pricing (Map to AVL),SWITCH,19889
21EN110-6,None Specified,SWITCH,19890
22-1274-291,None Specified,SEAL,19891
22-1274-292,None Specified,SEAL,19892
2212,BAE Systems RJ and 146 Airframe Components & Spare,STRAP,19893
2213,None Specified,STRAP,19894
2214,None Specified,WRIST STRAP,19895
2214420-7,AIRBUS SAS,VALVE,19896
2214420-8,Honeywell Aerospace,VALVE ASSY,19897
2220-507BFG,None Specified,CARTRIDG,19898
2232SB,Resource Data Pricing (Map to AVL),BULB,19899
225-001-500,None Specified,LATCH,19900
23100-000,TBA,CABLE AY,19901
23100-001,None Specified,CABLE AY,19902
2310026,None Specified,CLIP,19903
23101-000,None Specified,CABLE AY,19904
23101-001,None Specified,CABLE AY,19905
232T4146-1,Boeing,BAG ASS,19906
232U4254-6,Boeing,PAD,19907
232W1478-10,Boeing,HINGE AY,19908
232W1478-6,Boeing,HINGE,19909
232W1483-3,Boeing,SPRING,19910
232W2310-50H,None Specified,DOOR AY,19911
232W2311-1,Boeing,HINGE AY,19912
232W2311-2,Boeing,HINGE AY,19913
232W2331-1A,Boeing,BUMPER,19914
232W2370-1A,Boeing,STRIKE,19915
232W2371-1,Boeing,CATCH AY,19916
232W2372-1,Boeing,SOLENOID,19917
232W2374-1,Boeing,LOCK AY,19918
